Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,EMA_10,EMA_50,RSI_14,MACD,Signal_Line,BB_Mid,BB_Upper,BB_Lower
2019-03-20 04:00:00,4.390524630949254,4.443892082343012,4.294214944886872,4.32896614074707,719148000,0.0,0.0,,,4.32896614074707,4.32896614074707,,0.0,0.0,,,
2019-03-21 04:00:00,4.352051731169548,4.5920808009081115,4.347087205866525,4.565769195556641,824312000,0.0,0.0,,,4.372021241621537,4.338252535053328,,0.01889027217854089,0.003778054435708178,,,
2019-03-22 04:00:00,4.53846514746764,4.587116168662094,4.392014968545097,4.405915260314941,747644000,0.0,0.0,,,4.378183790474883,4.340905975259665,,0.020723188342692822,0.007167081217105107,,,
2019-03-25 04:00:00,4.3652080647820375,4.429496927022115,4.247303172038223,4.313578128814697,525212000,0.0,0.0,,,4.366437306536667,4.339834295006922,,0.014557147059969466,0.00864509438567798,,,
2019-03-26 04:00:00,4.455310960582842,4.511408768965814,4.333931019661732,4.39027738571167,703508000,0.0,0.0,,,4.370771866386667,4.341812455426716,,0.015678768860898806,0.010051829280722145,,,
2019-03-27 04:00:00,4.415843746800536,4.462260583700479,4.311591098396251,4.381092548370361,474372000,0.0,0.0,,,4.372648354020066,4.343352851228428,,0.015646163374447575,0.011170696099467232,,,
2019-03-28 04:00:00,4.4071560156405525,4.465488001140087,4.3465903252875435,4.399709701538086,480264000,0.0,0.0,,,4.377568599023342,4.345562923789591,,0.016927442936909287,0.012322045466955643,,,
2019-03-29 04:00:00,4.4664817800380145,4.4813753583590294,4.416093213037389,4.457049369812012,456896000,0.0,0.0,,,4.392019648257645,4.349934941280666,,0.022312493704998992,0.014320135114564314,,,
2019-04-01 04:00:00,4.548890253033545,4.5548475884213175,4.477154617603219,4.524564743041992,483824000,0.0,0.0,,,4.4161187564002535,4.356783168800718,,0.03166311888119289,0.01778873186789003,,,
2019-04-02 04:00:00,4.548641538247996,4.586867334364161,4.505699301942221,4.542435646057129,440920000,0.0,0.0,4.43093581199646,,4.439085463610594,4.364063658104891,,0.040053873104419324,0.02224176011519589,,,
