Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Close
2019-05-02,-3.0244184718885934,-0.8068942069201233,0.5459925515846829,-0.30571741055600826,-0.0656661887497354,-0.05703848825330856,0.10834841802573422,0.34423188403812943,-0.5628243871777734,-1.1421525492735598,4.547570705413818
2019-05-03,-3.026525707714039,-0.6912197452371562,-1.5572128380862946,-0.3545447689258607,2.6046194564884257,0.9052363647803394,0.480402810166067,-1.0928158302805573,-2.4483677551523537,-0.12677660501529364,4.5431013107299805
2019-05-04,-3.0264978212257967,-0.687272897951991,-1.5547072693096295,-0.35508316653036465,2.586443924474813,0.9282355061165851,0.4931265361954483,-1.0949243649208076,-2.456501949687309,-0.13942152717394354,4.5431013107299805
2019-05-05,-3.0264978212257967,-0.687272897951991,-1.5547072693096295,-0.35508316653036465,2.586443924474813,0.9282355061165851,0.4931265361954483,-1.0949243649208076,-2.456501949687309,-0.13942152717394354,4.5431013107299805
2019-05-06,-3.035467764936324,-0.6084400583301972,0.15517717575747186,-0.254190756537983,0.42379386652382744,-0.7699762767312596,-0.3272210058184796,0.35232538393656876,-0.1771905439849308,-0.5396158074181564,4.464657783508301
2019-05-07,-3.089208080862172,-1.0165019340223806,-0.08163413287791636,-0.5324692140691574,0.9845781392135344,-1.2499540672314733,-0.4122888102098621,0.03971523089226832,0.5866179511529396,-0.8401967434742338,4.297341346740723
2019-05-08,-3.0510471780647372,-1.050501060105759,0.3853726485953042,-0.36350994840174045,0.2068654463394809,-0.33494076494775205,0.022130422998211347,0.28723417444027355,-0.3301937019676405,-1.303932425588037,4.317448616027832
2019-05-09,-3.134335549813096,-1.1405044135532052,0.32541389259976733,-0.8112796866264451,0.7716332753436517,-0.7645667724167009,-0.054537748821598474,-0.2402948595246797,0.7835488072799023,-0.9727066394894809,4.224853992462158
2019-05-10,-3.112458945340893,-1.264482441448158,0.26030994465773494,-0.6608043016739551,0.5563197866457604,-0.569757857027854,0.03738205137948531,-0.06412067608366281,0.3848164013405804,-1.405950170982863,4.190844535827637
2019-05-11,-3.1122305366800513,-1.2321551690029937,0.2808321991614211,-0.6652141317958455,0.4074502376646531,-0.3813797784596262,0.14159772737370246,-0.0813909601485262,0.31819200372534284,-1.5095203914996307,4.190844535827637
2019-05-12,-3.1122305366800513,-1.2321551690029937,0.2808321991614211,-0.6652141317958455,0.4074502376646531,-0.3813797784596262,0.14159772737370246,-0.0813909601485262,0.31819200372534284,-1.5095203914996307,4.190844535827637
2019-05-13,-3.156280345865913,-1.7059315546911293,-0.004366234147271492,-0.8225539898027352,1.6638635916299827,-1.8237571638523864,-0.5362430659779617,-0.18240263433161188,1.2204990067077546,-1.089445139340482,3.933416604995727
2019-05-14,-3.1143829250990467,-1.281149242938756,0.26068802412244957,-0.6029274024265087,0.008019428194700055,0.08283410807672205,0.4005710654136426,-0.0293747811323371,0.001089950328306091,-1.9713895414724671,4.022535800933838
